City,State,Zip,Longitude,Latitude
Houma,LA,70360,-90.7603,29.6295
Iowa,LA,70647,-93.0157,30.2513
Kenner,LA,70062,-90.2405,30.0044
Lafayette,LA,70501,-92.0131,30.2521
Lafayette,LA,70503,-92.0135,30.204
Lake Charles,LA,70601,-93.2391,30.1979
Leesville,LA,71446,-93.238,31.0538
Metairie,LA,70001,-90.1549,29.9947
Metairie,LA,70003,-90.2058,30.0057
Morgan City,LA,70380,-91.1817,29.6958
New Iberia,LA,70560,-91.8566,29.9867
New Orleans,LA,70130,-90.069,29.9509
Shreveport,LA,71129,-93.8621,32.4494
Slidell,LA,70460,-89.8295,30.3118
Slidell,LA,70461,-89.7494,30.2825
Sulphur,LA,70663,-93.3765,30.2153
Walker,LA,70785,-90.8623,30.4737
Andover,MA,01810,-71.2088,42.6907
Auburn,MA,01501,-71.8415,42.1994
Milford,MA,01757,-71.4864,42.1489
Somerville,MA,02145,-71.0848,42.3945
Springfield,MA,01104,-72.5953,42.1095
Baltimore,MD,21237,-76.4907,39.3383
California,MD,20619,-76.4969,38.2926
Edgewood,MD,21040,-76.3098,39.4537
Elkton,MD,21921,-75.8038,39.6376
Glen Burnie,MD,21061,-76.6136,39.2031
Jessup,MD,20794,-76.7888,39.1712
Linthicum,MD,21090,-76.6851,39.1972
Ocean City,MD,21842,-75.0728,38.3614
Salisbury,MD,21801,-75.5966,38.3643
Waldorf,MD,20601,-76.8982,38.6403
Portland,ME,04102,-70.2819,43.6557
Canton,MI,48187,-83.447,42.3216
Romulus,MI,48174,-83.3418,42.2432
Southgate,MI,48195,-83.2263,42.2134
Utica,MI,48315,-83.0103,42.6283
Bloomington,MN,55420,-93.2764,44.8606
Bloomington,MN,55437,-93.3473,44.8558
Brooklyn Park,MN,55428,-93.3908,45.0818
Duluth,MN,55811,-92.1644,46.8101
Minnetonka,MN,55305,-93.4113,44.974
Rochester,MN,55904,-92.4629,43.9592
Blue Springs,MO,64015,-94.3041,39.0352
Branson,MO,65616,-93.2515,36.6427
Columbia,MO,65203,-92.3759,38.9683
Hazelwood,MO,63042,-90.3552,38.7808
Joplin,MO,64804,-94.4784,37.0531
Kansas City,MO,64116,-94.5588,39.147
Kansas City,MO,64152,-94.66,39.2442
Maryland Heights,MO,63043,-90.4637,38.7508
Saint Louis,MO,63146,-90.4345,38.6982
Springfield,MO,65803,-93.2648,37.2487
Springfield,MO,65803,-93.3464,37.2428
Springfield,MO,65807,-93.2957,37.1689
Biloxi,MS,39532,-88.9357,30.4458
Brandon,MS,39042,-90.0356,32.2761
Canton,MS,39046,-90.0682,32.6018
Hattiesburg,MS,39401,-89.3497,31.3277
Horn Lake,MS,38637,-90.0023,34.9616
Jackson,MS,39206,-90.1486,32.385
Meridian,MS,39301,-88.6915,32.3503
Moss Point,MS,39563,-88.5304,30.4429
Pearl,MS,39208,-90.1336,32.2635
Starkville,MS,39759,-88.7939,33.4811
Tupelo,MS,38804,-88.7156,34.277
Vicksburg,MS,39180,-90.839,32.3431
Belgrade,MT,59714,-111.1874,45.7643
Billings,MT,59101,-108.5605,45.7471
Bozeman,MT,59715,-111.0456,45.6986
Butte,MT,59701,-112.5026,45.9838
Glendive,MT,59330,-104.6967,47.1224
Great Falls,MT,59405,-111.307,47.499
Helena,MT,59601,-112.0033,46.5916
Kalispell,MT,59901,-114.2928,48.2097
Missoula,MT,59808,-114.0348,46.9117
Boone,NC,28607,-81.6688,36.2155
Cary,NC,27518,-78.7841,35.7358
Charlotte,NC,28208,-80.9209,35.2409
Charlotte,NC,28217,-80.8912,35.179
Conover,NC,28613,-81.2618,35.7003
Durham,NC,27707,-78.9722,35.9646
Durham,NC,27713,-78.8914,35.908
Greensboro,NC,27407,-79.8935,36.0537
Morrisville,NC,27560,-78.8166,35.8586
Morrisville,NC,27560,-78.817,35.8599
Raleigh,NC,27612,-78.6761,35.8336
Winston-Salem,NC,27103,-80.3102,36.0621
Bismarck,ND,58501,-100.7736,46.8296
Dickinson,ND,58601,-102.7932,46.895
Fargo,ND,58104,-96.864,46.8426
Grand Forks,ND,58201,-97.0863,47.9129
Minot,ND,58701,-101.3195,48.1989
Lincoln,NE,68521,-96.6834,40.855
North Platte,NE,69101,-100.7267,41.1085
Omaha,NE,68127,-96.08,41.2117
Omaha,NE,68134,-96.0754,41.2895
