ID,Rural,Income,Race,Expenditure,Kids
1000377,0,103650,1,19083.25,2
1000378,0,65200,1,6340.25,0
1000379,0,2369,1,12717,0
1000380,0,103000,1,15796.0001,0
1000381,0,150100,1,56147.2833,2
1000382,0,65000,6,10679.2501,0
1000383,0,85000,2,11223.7501,0
1000384,0,10824,1,2224,0
1000385,0,27539,1,16544,0
1000386,0,138000,1,64853.7499,1
1000387,0,7200,1,2172,0
1000388,0,132000,1,27610.7499,3
1000389,1,32926,1,7270.65,0
1000390,0,90000,1,15391.25,0
1000391,0,105226,1,19606.1499,0
1000392,0,29200,1,12135.9999,0
1000393,0,12000,1,6444.1501,0
1000394,0,216553,1,24260.5332,4
1000395,0,27407,1,7223,0
1000396,0,4500,1,11332.4501,0
1000397,0,175015,1,22436.55,2
1000398,0,403084,2,17709.9999,1
1000399,0,56556,1,14664.0001,0
1000400,0,10474,2,1732,0
1000401,0,40198,2,6654.75,0
1000402,0,100346,1,11591.2999,2
1000403,0,55500,2,8927.4999,2
1000404,0,69500,1,9069.2499,0
1000405,0,62660,1,11759.7501,0
1000406,0,92000,1,14013.5001,1
1000407,0,107726,1,15887.25,0
1000408,0,50619,1,14598.5002,0
1000409,0,62680,1,6685.3333,0
1000410,1,23226,1,6241.3333,0
1000411,0,22000,6,4182.1667,0
1000412,0,123200,1,11088.1667,0
1000413,0,1602,1,3684.3333,0
1000414,0,109345,1,9435.1667,0
1000415,0,51800,1,17180.6667,0
1000416,0,35077,1,18248,0
1000417,0,12582,1,2652.6667,0
1000418,0,120000,1,11063.5999,1
1000419,0,18426,1,2574.3333,0
1000420,0,35652,1,6222.5667,0
1000421,0,13000,1,2575.5001,0
1000422,0,24000,2,2397.3333,0
1000423,0,1626,2,2404.5,0
1000424,0,19584,1,7023.6667,0
1000425,1,31680,3,4064.3333,2
1000426,0,30198,4,5162.7999,0
1000427,0,28000,1,5617.3333,2
1000428,0,52000,1,10881.6667,0
1000429,0,130000,1,14601.0333,0
1000430,0,13811,1,2047.3333,0
1000431,0,107669,1,14089.1667,6
1000432,0,1626,1,5717.6667,0
1000433,0,445084,1,32237.3555,0
1000434,0,168000,1,18585.6667,2
1000435,0,50000,1,7260.6666,0
1000436,0,47321,1,33212.6667,0
1000437,0,97364,1,10362.5222,0
1000438,0,35000,1,4727.0001,0
1000439,0,72000,1,10952.3333,0
1000440,0,40632,1,10344.3333,0
1000441,0,29346,2,6513.3333,0
1000442,0,64987,4,8742.6667,0
1000443,1,32452,1,5315.6667,0
1000444,0,26634,1,7288.3333,0
1000445,0,44626,1,4635.7667,0
1000446,0,8475,1,2986,3
1000447,1,55117,1,9833.4999,0
1000448,0,57600,4,5223.0001,0
1000449,0,10512,2,2973.5,0
1000450,0,120000,1,14367.6667,2
1000451,0,31904,1,7237.1668,0
1000452,0,75000,1,3026.3334,0
1000453,1,62000,1,12226.9333,0
1000454,0,136582,1,11583.2333,0
1000455,0,50832,1,3518.6667,0
1000456,0,24000,1,3540.9667,0
1000457,0,45362,1,9492.3333,0
1000458,0,87433,1,21621.6667,0
1000459,0,89400,1,10401.8334,2
1000460,1,7000,1,5375.5999,0
1000461,0,14001,1,1491.8333,0
1000462,0,26400,4,3974.5,2
1000463,0,18330,1,2164.3333,0
